src_ip,dst_ip,src_tempo_checagem_iptables,src_tempo_checagem_wl_local,src_tempo_resposta_api,src_tempo_checagem_api,src_tempo_aplicar_regras_blacklist,src_tempo_aplicar_regras_whitelist,dst_tempo_checagem_iptables,dst_tempo_checagem_wl_local,dst_tempo_resposta_api,dst_tempo_checagem_api,dst_tempo_aplicar_regras_blacklist,dst_tempo_aplicar_regras_whitelist,tempo_inserir_network_traffic,tempo_detecção_conexao
192.168.3.113,104.26.12.38,0.2529621124267578,0.22792816162109375,0,0,0,0,0.08320808410644531,0.10466575622558594,21185.154676437378,21200.944662094116,0,27.150630950927734,0.16355514526367188,2.0508766174316406
192.168.3.113,104.26.12.38,0.35309791564941406,0.16021728515625,0,0,0,0,0.18715858459472656,0.10800361633300781,0,0,0,0,0.30541419982910156,2.045154571533203
192.168.3.113,104.26.12.38,0.3135204315185547,0.3361701965332031,0,0,0,0,0.11873245239257812,0.1533031463623047,0,0,0,0,0.3352165222167969,2.418041229248047
192.168.3.113,104.26.12.38,0.1342296600341797,0.14853477478027344,0,0,0,0,0.06937980651855469,0.06771087646484375,0,0,0,0,0.164031982421875,1.4789104461669922
192.168.3.113,104.26.12.38,0.21791458129882812,0.16236305236816406,0,0,0,0,0.06794929504394531,0.08058547973632812,0,0,0,0,0.19121170043945312,1.7237663269042969
192.168.3.113,104.26.12.38,0.1366138458251953,0.16427040100097656,0,0,0,0,0.06866455078125,0.12373924255371094,0,0,0,0,0.13780593872070312,1.4567375183105469
192.168.3.113,34.54.88.138,0.14472007751464844,0.10776519775390625,0,0,0,0,0.06437301635742188,0.06008148193359375,0,0,0,0,0.14495849609375,1.3992786407470703
192.168.3.113,34.54.88.138,0.1811981201171875,0.16832351684570312,0,0,0,0,0.0629425048828125,0.05054473876953125,0,0,0,0,0.15926361083984375,1.6901493072509766
192.168.3.113,35.244.137.80,0.13685226440429688,0.17762184143066406,0,0,0,0,0.03981590270996094,0.07891654968261719,0,0,0,0,0.133514404296875,1.499176025390625
192.168.3.113,35.244.137.80,0.5471706390380859,0.1938343048095703,0,0,0,0,0.2696514129638672,0.11324882507324219,0,0,0,0,0.47469139099121094,2.9599666595458984
192.168.3.113,45.55.106.210,0.3600120544433594,0.1423358917236328,0,0,0,0,0.11849403381347656,0.0705718994140625,19440.98687171936,19477.339267730713,0,36.91864013671875,0.27871131896972656,3.415822982788086
192.168.3.113,45.55.106.210,0.46539306640625,0.4703998565673828,0,0,0,0,0.1583099365234375,0.1938343048095703,0,0,0,0,0.39076805114746094,2.9625892639160156
192.168.3.113,104.26.13.38,0.2849102020263672,0.11539459228515625,0,0,0,0,0.09679794311523438,0.05745887756347656,0,0,0,0,0.16570091247558594,1.5194416046142578
192.168.3.113,104.26.13.38,0.15997886657714844,0.10061264038085938,0,0,0,0,0.05269050598144531,0.0514984130859375,0,0,0,0,0.13208389282226562,1.2879371643066406
192.168.3.113,34.54.88.138,0.15664100646972656,0.09608268737792969,0,0,0,0,0.057220458984375,0.051021575927734375,0,0,0,0,0.13446807861328125,1.547098159790039
192.168.3.113,34.54.88.138,0.13709068298339844,0.10585784912109375,0,0,0,0,0.05221366882324219,0.052928924560546875,0,0,0,0,0.13971328735351562,1.4233589172363281
192.168.3.113,45.55.106.210,0.1468658447265625,0.08916854858398438,0,0,0,0,0.05245208740234375,0.04839897155761719,0,0,0,0,0.1277923583984375,1.4722347259521484
192.168.3.113,45.55.106.210,0.1575946807861328,0.09679794311523438,0,0,0,0,0.057697296142578125,0.05173683166503906,0,0,0,0,0.13184547424316406,1.47247314453125
192.168.3.113,35.244.137.80,0.16164779663085938,0.08940696716308594,0,0,0,0,0.045299530029296875,0.04029273986816406,0,0,0,0,0.133514404296875,1.8322467803955078
192.168.3.113,35.244.137.80,0.24843215942382812,0.13494491577148438,0,0,0,0,0.07200241088867188,0.056743621826171875,0,0,0,0,0.23293495178222656,1.917123794555664
192.168.3.113,104.26.13.38,0.30612945556640625,0.11968612670898438,0,0,0,0,0.19884109497070312,0.055789947509765625,0,0,0,0,0.15544891357421875,1.5807151794433594
192.168.3.113,104.26.13.38,0.1437664031982422,0.1010894775390625,0,0,0,0,0.056743621826171875,0.05507469177246094,0,0,0,0,0.12731552124023438,1.280069351196289
192.168.3.113,34.54.88.138,0.17213821411132812,0.10514259338378906,0,0,0,0,0.06461143493652344,0.0591278076171875,0,0,0,0,0.14090538024902344,1.5399456024169922
192.168.3.113,35.244.137.80,0.13756752014160156,0.1049041748046875,0,0,0,0,0.05984306335449219,0.053882598876953125,0,0,0,0,0.1366138458251953,1.3766288757324219
192.168.3.113,34.54.88.138,0.3848075866699219,0.1628398895263672,0,0,0,0,0.20313262939453125,0.09012222290039062,0,0,0,0,0.48804283142089844,2.8781890869140625
192.168.3.113,35.244.137.80,0.1964569091796875,0.15807151794433594,0,0,0,0,0.10156631469726562,0.05888938903808594,0,0,0,0,0.1468658447265625,1.735687255859375
192.168.3.113,45.55.106.210,0.5266666412353516,0.2231597900390625,0,0,0,0,0.20956993103027344,0.12159347534179688,0,0,0,0,1.556396484375,3.931760787963867
192.168.3.113,45.55.106.210,0.33473968505859375,0.2586841583251953,0,0,0,0,0.11014938354492188,0.1266002655029297,0,0,0,0,0.23627281188964844,2.2504329681396484
192.168.3.113,121.231.214.160,0.9763240814208984,0.2760887145996094,0,0,0,0,0.14352798461914062,0.10561943054199219,16848.6168384552,16884.982109069824,0.03840327262878418,0,0.4608631134033203,4.397153854370117
192.168.3.113,121.231.214.160,0.4813671112060547,0,0,0,0,0,0.2853870391845703,0,0,0,0,0,0,0
192.168.3.113,104.26.13.38,0.3497600555419922,0.2307891845703125,0,0,0,0,0.22172927856445312,0.12326240539550781,0,0,0,0,0.4611015319824219,3.009796142578125
192.168.3.113,104.26.13.38,0.29468536376953125,0.3135204315185547,0,0,0,0,0.24318695068359375,0.12254714965820312,0,0,0,0,0.2930164337158203,2.343416213989258
192.168.3.113,34.54.88.138,0.21195411682128906,0.12469291687011719,0,0,0,0,0.06699562072753906,0.06270408630371094,0,0,0,0,0.1857280731201172,1.916646957397461
192.168.3.113,34.54.88.138,0.25343894958496094,0.12993812561035156,0,0,0,0,0.07152557373046875,0.0667572021484375,0,0,0,0,0.1735687255859375,2.0227432250976562
192.168.3.113,35.244.137.80,0.2238750457763672,0.12874603271484375,0,0,0,0,0.06818771362304688,0.06651878356933594,0,0,0,0,0.1735687255859375,1.9142627716064453
192.168.3.113,35.244.137.80,0.6284713745117188,0.1690387725830078,0,0,0,0,0.1437664031982422,0.08487701416015625,0,0,0,0,0.41174888610839844,2.9745101928710938
192.168.3.113,45.55.106.210,0.5376338958740234,0.23293495178222656,0,0,0,0,0.2002716064453125,0.14638900756835938,0,0,0,0,0.4265308380126953,3.2198429107666016
192.168.3.113,45.55.106.210,0.2899169921875,0.23746490478515625,0,0,0,0,0.1494884490966797,0.14066696166992188,0,0,0,0,0.29587745666503906,2.3937225341796875
192.168.3.125,172.217.28.165,0.31375885009765625,0.1010894775390625,0,0,0,0,0.15544891357421875,0.04553794860839844,21365.830421447754,21382.39073753357,0,29.61444854736328,0.16832351684570312,1.6896724700927734
192.168.3.113,104.26.13.38,0.6256103515625,0.26106834411621094,0,0,0,0,0.34117698669433594,0.1373291015625,0,0,0,0,0.4508495330810547,2.971172332763672
192.168.3.113,45.55.106.210,0.28967857360839844,0.21648406982421875,0,0,0,0,0.1423358917236328,0.15735626220703125,0,0,0,0,0.26702880859375,2.4750232696533203
192.168.3.113,104.26.13.38,0.4477500915527344,0.152587890625,0,0,0,0,0.19860267639160156,0.07414817810058594,0,0,0,0,0.28204917907714844,2.5811195373535156
192.168.3.113,45.55.106.210,0.431060791015625,0.29540061950683594,0,0,0,0,0.21457672119140625,0.14925003051757812,0,0,0,0,0.4425048828125,2.890348434448242
192.168.3.113,35.244.137.80,0.3809928894042969,0.30350685119628906,0,0,0,0,0.12063980102539062,0.13971328735351562,0,0,0,0,0.23794174194335938,2.5072097778320312
192.168.3.113,35.244.137.80,0.2155303955078125,0.10943412780761719,0,0,0,0,0.08702278137207031,0.043392181396484375,0,0,0,0,0.1862049102783203,1.5668869018554688
192.168.3.113,34.54.88.138,0.4894733428955078,0.25081634521484375,0,0,0,0,0.28967857360839844,0.23436546325683594,0,0,0,0,0.4611015319824219,2.7844905853271484
192.168.3.113,34.54.88.138,0.19812583923339844,0.10991096496582031,0,0,0,0,0.11396408081054688,0.07343292236328125,0,0,0,0,0.17380714416503906,1.667022705078125
192.168.3.113,121.231.214.160,2.3419857025146484,0,0,0,0,0,0.48995018005371094,0,0,0,0,0,0,0
192.168.3.113,121.231.214.160,0.4916191101074219,0,0,0,0,0,0.23698806762695312,0,0,0,0,0,0,0
192.168.3.113,121.231.214.160,0.9388923645019531,0,0,0,0,0,0.6461143493652344,0,0,0,0,0,0,0
192.168.3.113,121.231.214.160,0.774383544921875,0,0,0,0,0,0.4458427429199219,0,0,0,0,0,0,0
192.168.3.113,121.231.214.160,0.8602142333984375,0,0,0,0,0,0.6289482116699219,0,0,0,0,0,0,0
192.168.3.113,121.231.214.160,0.6716251373291016,0,0,0,0,0,0.5068778991699219,0,0,0,0,0,0,0
192.168.3.134,13.227.97.111,0.7028579711914062,0.38623809814453125,0,0,0,0,0.1327991485595703,0.09989738464355469,17059.157609939575,17082.159280776978,0,39.52908515930176,0.4906654357910156,3.3860206604003906
192.168.3.113,172.67.70.74,0.5118846893310547,0.2865791320800781,0,0,0,0,0.18310546875,0.17142295837402344,0,0,0,0,0.4661083221435547,2.834796905517578
192.168.3.113,172.67.70.74,0.2543926239013672,0.1480579376220703,0,0,0,0,0.08416175842285156,0.1087188720703125,0,0,0,0,0.2448558807373047,2.1851062774658203
192.168.3.113,34.54.88.138,0.25081634521484375,0.13875961303710938,0,0,0,0,0.08392333984375,0.09489059448242188,0,0,0,0,0.2608299255371094,2.249479293823242
192.168.3.113,34.54.88.138,0.22792816162109375,0.13637542724609375,0,0,0,0,0.07605552673339844,0.194549560546875,0,0,0,0,0.2472400665283203,2.176523208618164
192.168.3.113,185.199.108.133,5.837917327880859,0.6244182586669922,0,0,0,0,0.09632110595703125,0.08511543273925781,1102.189540863037,1137.5749111175537,0,31.551361083984375,2.458333969116211,20.010948181152344
192.168.3.113,185.199.108.154,0.35190582275390625,0.16927719116210938,0,0,0,0,0.06437301635742188,0.06699562072753906,566.40625,585.2572917938232,0,15.288114547729492,0.2129077911376953,2.5992393493652344
192.168.3.113,20.201.28.151,0.24580955505371094,0.21147727966308594,0,0,0,0,0.1857280731201172,0.05793571472167969,0,0,0,0,0.1785755157470703,2.1610260009765625
192.168.3.113,104.26.12.38,0.392913818359375,0.10204315185546875,0,0,0,0,0.06341934204101562,0.040531158447265625,0,0,0,0,0.21219253540039062,2.6166439056396484
192.168.3.113,34.54.88.138,0.16546249389648438,0.08726119995117188,0,0,0,0,0.039577484130859375,0.039577484130859375,0,0,0,0,0.1277923583984375,2.1364688873291016
192.168.3.113,35.244.137.80,0.2741813659667969,0.102996826171875,0,0,0,0,0.05412101745605469,0.046253204345703125,0,0,0,0,0.19621849060058594,1.8215179443359375
192.168.3.113,45.55.106.210,0.27751922607421875,0.14734268188476562,0,0,0,0,0.12421607971191406,0.09441375732421875,0,0,0,0,0.24437904357910156,2.76947021484375
192.168.3.113,35.244.137.80,0.22983551025390625,0.13113021850585938,0,0,0,0,0.0629425048828125,0.059604644775390625,0,0,0,0,0.15926361083984375,1.508951187133789
192.168.3.113,20.201.28.151,1.0216236114501953,0.2570152282714844,0,0,0,0,0.08606910705566406,0.07486343383789062,0,0,0,0,0.43773651123046875,2.6967525482177734
192.168.3.113,20.201.28.148,0.21076202392578125,0.11324882507324219,0,0,0,0,0.0591278076171875,0.06747245788574219,802.0384311676025,826.7016410827637,0,23.000478744506836,0.21004676818847656,1.7919540405273438
192.168.3.113,172.67.70.74,0.5979537963867188,0.2300739288330078,0,0,0,0,0.1971721649169922,0.09894371032714844,0,0,0,0,0.3657341003417969,2.6717185974121094
192.168.3.113,45.55.106.210,0.20694732666015625,0.16880035400390625,0,0,0,0,0.060558319091796875,0.06008148193359375,0,0,0,0,0.15616416931152344,1.8589496612548828
192.168.3.113,35.244.137.80,0.20194053649902344,0.26345252990722656,0,0,0,0,0.12946128845214844,0.1621246337890625,12411.638021469116,12442.940950393677,0,23.543119430541992,0.23436546325683594,2.070903778076172
192.168.3.113,34.54.88.138,0.2281665802001953,0.12993812561035156,0,0,0,0,0.058650970458984375,0.04792213439941406,0,0,0,0,0.17380714416503906,1.4896392822265625
192.168.3.113,104.26.13.38,0.4291534423828125,0.11491775512695312,0,0,0,0,0.14090538024902344,0.05340576171875,0,0,0,0,0.18930435180664062,2.078533172607422
192.168.3.113,34.54.88.138,0.19407272338867188,0.11014938354492188,0,0,0,0,0.08320808410644531,0.05435943603515625,0,0,0,0,0.17070770263671875,1.4657974243164062
192.168.3.113,35.244.137.80,0.14781951904296875,0.09846687316894531,0,0,0,0,0.05745887756347656,0.05245208740234375,0,0,0,0,0.14638900756835938,1.4638900756835938
192.168.3.113,45.55.106.210,0.1404285430908203,0.11801719665527344,0,0,0,0,0.0553131103515625,0.04935264587402344,0,0,0,0,0.1437664031982422,1.3206005096435547
192.168.3.113,34.120.208.123,0.3299713134765625,0.1461505889892578,0,0,0,0,0.10371208190917969,0.07224082946777344,562.2062683105469,578.453779220581,0,30.45511245727539,0.19550323486328125,1.6040802001953125
192.168.3.113,34.120.208.123,0.38504600524902344,0.3101825714111328,0,0,0,0,0.27871131896972656,0.12469291687011719,0,0,0,0,0.4024505615234375,2.9420852661132812
192.168.3.113,172.67.70.74,0.19240379333496094,0.11420249938964844,0,0,0,0,0.0743865966796875,0.05841255187988281,0,0,0,0,0.13875961303710938,1.767873764038086
192.168.3.113,34.54.88.138,0.2651214599609375,0.16236305236816406,0,0,0,0,0.2574920654296875,0.09441375732421875,0,0,0,0,0.3790855407714844,2.4368762969970703
192.168.3.113,35.244.137.80,0.17595291137695312,0.22268295288085938,0,0,0,0,0.05269050598144531,0.10371208190917969,0,0,0,0,0.1347064971923828,1.4433860778808594
192.168.3.113,45.55.106.210,0.17309188842773438,0.19097328186035156,0,0,0,0,0.08726119995117188,0.07939338684082031,0,0,0,0,0.2052783966064453,1.5995502471923828
192.168.3.113,34.36.54.80,0.33664703369140625,0.11157989501953125,0,0,0,0,0.06890296936035156,0.05364418029785156,587.0826244354248,602.4680137634277,0,25.12645721435547,0.1761913299560547,1.5516281127929688
192.168.3.113,35.244.137.80,0.24175643920898438,0.11324882507324219,0,0,0,0,0.06413459777832031,0.05340576171875,0,0,0,0,0.17762184143066406,1.5916824340820312
